source_type,headline,related_ticker_or_index,sentiment,impact_sector,impact_strength
해외,미중 관세 완화 합의,"KOSPI, USDKRW=X",1,"수출, 무역",4
해외,"미국 소비자심리지수 하락, 기대 인플레이션 상승","USCPI, VIX, FED",-1,"금융, 소비",3
해외,미국 증시 3대 지수 상승 마감,"^DJI, ^GSPC, ^IXIC",1,전 업종,3
해외,"한국 투자자, 美 주식 대량 순매도","TSLA, NVDA, AAPL",0,자금 유출입,2
국내,외국인 4월 한국 주식시장서 93억 달러 순유출,"KOSPI, USDKRW=X",-1,대형주 전반,4
국내,국내 ETF 시장 순자산 200조 돌파 임박,"TIGER200, KODEX200",1,지수추종ETF,3
국내,"SKT 유심 해킹 피해, 집단 소송",017670.KQ,-1,통신,2
국내,"코스피 2,630선 안착 시도",KOSPI,1,전반적 심리,3
국내,"증권가 “5월 중 코스피 2,700선 회복 가능” 전망",KOSPI,1,시장 전망,3
국내,미국 신용등급 강등 여파로 코스피 하락세,"KOSPI, USDKRW=X",-1,전반적 심리,4
국내,"정부, 수출 기업 지원 확대","KOSPI, 수출주",1,수출 정책,3
국내,"코스피, 외국인·기관 매도에 하락 출발",KOSPI,-1,기관·외인 수급,3
국내,"코스피, 5주 연속 상승세 제동",KOSPI,-1,시장 흐름,3
국내,"코스피, 관세·환율·금리 눈치 싸움 중 상승 기대감도","KOSPI, 금리, USDKRW=X",0,거시경제 변수,2
해외,"무디스, 미국 신용등급 강등","US10Y, USD, KOSPI",-1,전반적 심리,4
해외,"한국 주식시장, 월스트리트 하락세 추종","KOSPI, ^DJI",-1,전 업종,3
해외,"아시아 증시, 금융 및 기계 부문 약세로 하락 출발","^N225, KOSPI",-1,"금융, 산업재",3
해외,"한국 주식시장, 추가 지원 기대",KOSPI,1,정책 기대감,2
해외,"GIFT Nifty, 아시아 증시 하락 시사","NIFTY, KOSPI",-1,시장 심리,3
